"Model","Launch","Codename","Fab(nm)","Transistors(million)","Diesize(mm)","Businterface","Clockrate","Clockrate","Fillrate","Memory","Processingpower(GFLOPS)","TDP(Watts)","Memory","APIsupport(version)","APIsupport(version)","Memory","Coreconfig","Fillrate","Memory","Processingpower(GFLOPS)","TDP(Watts)","CrossfireSupport","APIsupport(version)","ReleasePrice(USD)"
"Model","Launch","Codename","Fab(nm)","Transistors(million)","Diesize(mm)","Businterface","Core(MHz)","Coreconfig","Memory(MHz)","Pixel(GP/s)","Texture(GT/s)","Size(MB)","CrossfireSupport","Bandwidth(GB/s)","ReleasePrice(USD)","Bustype","Buswidth(bit)","Singleprecision","Doubleprecision","Idle","Max.","Direct3D","OpenGL","OpenCL"
"RadeonHD2350","Jun28,2007","RV610","65","180","85","PCIe1.0×16","525","400","40:4:4","2.10","2.10","64onboard+upto256system","3.20","DDR2","32","42.0","No","","20","No","10.0","3.3","APPStreamOnly","?"
"RadeonHD2400PRO","Jun28,2007","RV610","65","180","85","PCIe1.0×16AGPPCI","525","400","40:4:4","2.10","2.10","128256512","6.40","DDR2","64","42.0","No","","20","No","10.0","3.3","APPStreamOnly","$50–55"
"RadeonHD2400XT","Jun28,2007","RV610","65","64","180","85","PCIe1.0×16","650","500700","40:4:4","2.60","2.60","256","8.011.2","DDR2GDDR3","52.0","No","25","","$75–85","No","10.0","3.3","APPStreamOnly"
"RadeonHD2600PRO","Jun28,2007","RV630","500700","65","390","153","PCIe1.0×16AGP","DDR2GDDR3","600","120:8:4","2.40","4.80","256512","16.022.4","128","144.0","No","35","$89–99","","No","10.0","3.3","APPStreamOnly"
"RadeonHD2600XT","RV630","390","153","PCIe1.0×16AGP","Jun28,2007","120:8:4","800","65","256512","8001100","128","3.20","6.40","25.635.2","GDDR3GDDR4","192.0","No","4550","4-WayCrossfire","$119(GDDR3)$149(GDDR4)","","10.0","3.3","APPStreamOnly"
"RadeonHD2900GT","Nov6,2007","R600GT","80","720","420","PCIe1.0×16","601","800","256512","4-WayCrossfire","240:12:12","7.21","7.21","51.2","GDDR3","256","288.5","No","150","","$200","10.0","3.3","APPStreamOnly"
"RadeonHD2900PRO","Sep25,2007","R600PRO","80","720","420","PCIe1.0×16","600","800925","320:16:16","9.6","9.6","5121024","51.2102.4118.4","4-WayCrossfire","GDDR3GDDR4","256512","384.0","No","200","$250(512mbGDDR3)$300(1GBGDDR4)","","10.0","3.3","APPStreamOnly"
"RadeonHD2900XT","May14,2007","R600XT","80","720","320:16:16","420","PCIe1.0×16","5121024","743","8281000","11.9","11.9","105.6128.0","GDDR3GDDR4","512","4-WayCrossfire","475.5","No","215","$399","","10.0","3.3","APPStreamOnly"
