"Assembler","Developer","Operatingsystem","FOSS","License","Developmentactive"
"A86/A386","EricIsaacson","Windows,DOS","No","Proprietary","No"
"ACK","AndrewTanenbaum,CerielJacobs","Linux,MINIX,Unix-like","Yes","BSDsince2003","1985-?"
"IBMALP","IBM","OS/2","No","Proprietary","No"
"AT&T","AT&T","UnixSystemV","No","Proprietary","1985-?"
"DigitalResearchASM86","DigitalResearch","CP/M-86,DOS,Intel'sISISandiRMX","No","Proprietary","1978-1992"
"FASM","TomaszGrysztar","Windows,DOS,Linux,Unix-like","Yes","BSDwithaddedCopyleft","Yes"
"GAS","GNUProject","Unix-like,Windows,DOS,OS/2","Yes","GNUGPL","Since1987"
"HLA","RandallHyde","Windows,Linux,FreeBSD,macOS","Yes","Publicdomain","Yes"
"OpenWatcomAssembler(HJWASMa.k.a.UASM,JWASM,WASM)","Watcom","Linux,Windows,DOS,FreeBSD,OS/2","approvedbyOSI,butnotbyFSF","SybaseOpenWatcomPublic","Yes"
"MASM","Microsoft","Windows,DOS,OS/2","No","MicrosoftEULA","Since1981"
"NASM","SimonTatham,JulianHall,HansPeterAnvin,etal.","Linux,macOS,Windows,DOS,OS/2","Yes","BSD","Yes"
"TimPaterson'sASM","TimPaterson","86-DOS,DOSDEBUG","No","Proprietary","1979-1983"
"TASM","Borland","Windows,DOS","No","Proprietary","?"
"TCCASM","FabriceBellard","Unix-like,Windows","Yes","LGPL","Yes"
"vasm","","various","Yes","Free","Yes"
"86-AssemblerforDOS","StephenDuffy","DOS","Yes","GPL2","No"
"Xenix","Microsoft","Xenix2.3and3.0(before1985)","No","Proprietary","1982-1984"
"Yasm","","Windows,DOS,Linux,Unix-like","Yes","BSD","No"
