"Model","Launch","Fab(nm)","Businterface","Memory","Memory","Memory"
"Model","Launch","Fab(nm)","Businterface","Size(KiB)","Bustype","Buswidth(bit)"
"Mach8","1991","800","ISA,MCA","5121024","DRAMVRAM","32"
"Mach32","1992","800","ISA,EISA,VLBPCI,MCA","10242048","DRAMVRAM","64"
"Mach64CX","1994","700","ISA,VLB,PCI","1024,2048,4096","64","DRAM,VRAM"
"Mach64GX","1994","700","ISA,VLB,PCI","1024,2048,4096","DRAM,VRAM","64"
"Mach64CT","1995","600","PCI","1024,2048,4096","DRAM,VRAM,EDO","64"
"Mach64VT(264VT)","1995","600","PCI","DRAM,VRAM,EDO","64","1024,2048,4096"
"Mach64VT2(264VT2)","1996","600","PCI","EDO","64","1024,2048,4096"
"Mach64VT4(264VT4)","1998","600","PCI","2048,4096","EDO,SGRAM","64"
