"","MSHTML","Gecko","WebKit","KHTML","Presto"
"Fontstyles","Fontstyles","Fontstyles","Fontstyles","Fontstyles","Fontstyles"
"b","<3.1","1.0","Yes","Yes","1.0"
"i","<3.1","1.0","Yes","Yes","1.0"
"big","<3.1","1.0","Yes","Yes","1.0"
"small","<3.1","1.0","Yes","Yes","1.0"
"tt","<3.1","1.0","Yes","Yes","1.0"
"Horizontalrules","Horizontalrules","Horizontalrules","Horizontalrules","Horizontalrules","Horizontalrules"
"hr","<3.1","1.0","Yes","Yes","1.0"
