"DatasetName","Briefdescription","Preprocessing","Instances","Format","DefaultTask","Created(updated)","Reference","Creator"
"NRC-GAMMA","Anovelbenchmarkgasmeterimagedataset","None","28,883","Image,Label","Classification","2021","","A.Ebadi,P.Paul,S.Auer,&S.Tremblay"
"TheSUPATLANTIQUEdataset","ImagesofscannedofficialandWikipediadocuments","None","4908","TIFF/pdf","Sourcedeviceidentification,forgerydetection,Classification,..","2020","","C.BenRabahetal."
"Densityfunctionaltheoryquantumsimulationsofgraphene","Labelledimagesofrawinputtoasimulationofgraphene","Rawdata(inHDF5format)andoutputlabelsfromdensityfunctionaltheoryquantumsimulation","60744testand501473trainingfiles","Labeledimages","Regression","2019","","K.Mills&I.Tamblyn"
"Quantumsimulationsofanelectroninatwodimensionalpotentialwell","Labelledimagesofrawinputtoasimulationof2dQuantummechanics","Rawdata(inHDF5format)andoutputlabelsfromquantumsimulation","1.3millionimages","Labeledimages","Regression","2017","","K.Mills,M.A.Spanner,&I.Tamblyn"
"MPIICookingActivitiesDataset","Videosandimagesofvariouscookingactivities.","Activitypathsanddirections,labels,fine-grainedmotionlabeling,activityclass,stillimageextractionandlabeling.","881,755frames","Labeledvideo,images,text","Classification","2012","","M.Rohrbachetal."
"FAMOSDataset","5,000uniquemicrostructures,allsampleshavebeenacquired3timeswithtwodifferentcameras.","OriginalPNGfiles,sortedpercameraandthenperacquisition.MATLABdatafileswithone16384times5000matrixpercameraperacquisition.","30,000","Imagesand.matfiles","Authentication","2012","","S.Voloshynovskiy,etal."
"PharmaPackDataset","1,000uniqueclasseswith54imagesperclass.","Classlabeling,manylocaldescriptors,likeSIFTandaKaZE,andlocalfeatureagreators,likeFisherVector(FV).","54,000","Imagesand.matfiles","Fine-grainclassification","2017","","O.TaranandS.Rezaeifar,etal."
"StanfordDogsDataset","Imagesof120breedsofdogsfromaroundtheworld.","Train/testsplitsandImageNetannotationsprovided.","20,580","Images,text","Fine-grainclassification","2011","","A.Khoslaetal."
"StanfordExtraDataset","2DkeypointsandsegmentationsfortheStanfordDogsDataset.","2Dkeypointsandsegmentationsprovided.","12,035","Labelledimages","3Dreconstruction/poseestimation","2020","","B.Biggsetal."
"TheOxford-IIITPetDataset","37categoriesofpetswithroughly200imagesofeach.","Breedlabeled,tightboundingbox,foreground-backgroundsegmentation.","~7,400","Images,text","Classification,objectdetection","2012","","O.Parkhietal."
"CorelImageFeaturesDataSet","Databaseofimageswithfeaturesextracted.","Manyfeaturesincludingcolorhistogram,co-occurrencetexture,andcolormoments,","68,040","Text","Classification,objectdetection","1999","","M.Ortega-Bindenbergeretal."
"OnlineVideoCharacteristicsandTranscodingTimeDataset.","Transcodingtimesforvariousdifferentvideosandvideoproperties.","Videofeaturesgiven.","168,286","Text","Regression","2015","","T.Denekeetal."
"MicrosoftSequentialImageNarrativeDataset(SIND)","Datasetforsequentialvision-to-language","Descriptivecaptionandstorytellinggivenforeachphoto,andphotosarearrangedinsequences","81,743","Images,text","Visualstorytelling","2016","","MicrosoftResearch"
"Caltech-UCSDBirds-200-2011Dataset","Largedatasetofimagesofbirds.","Partlocationsforbirds,boundingboxes,312binaryattributesgiven","11,788","Images,text","Classification","2011","","C.Wahetal."
"YouTube-8M","Largeanddiverselabeledvideodataset","YouTubevideoIDsandassociatedlabelsfromadiversevocabularyof4800visualentities","8million","Video,text","Videoclassification","2016","","S.Abu-El-Haijaetal."
"YFCC100M","Largeanddiverselabeledimageandvideodataset","FlickrVideosandImagesandassociateddescription,titles,tags,andothermetadata(suchasEXIFandgeotags)","100million","Video,Image,Text","VideoandImageclassification","2016","","B.Thomeeetal."
"DiscreteLIRIS-ACCEDE","Shortvideosannotatedforvalenceandarousal.","Valenceandarousallabels.","9800","Video","Videoemotionelicitationdetection","2015","","Y.Baveyeetal."
"ContinuousLIRIS-ACCEDE","LongvideosannotatedforvalenceandarousalwhilealsocollectingGalvanicSkinResponse.","Valenceandarousallabels.","30","Video","Videoemotionelicitationdetection","2015","","Y.Baveyeetal."
"MediaEvalLIRIS-ACCEDE","ExtensionofDiscreteLIRIS-ACCEDEincludingannotationsforviolencelevelsofthefilms.","Violence,valenceandarousallabels.","10900","Video","Videoemotionelicitationdetection","2015","","Y.Baveyeetal."
"LeedsSportsPose","Articulatedhumanposeannotationsin2000naturalsportsimagesfromFlickr.","Roughcroparoundsinglepersonofinterestwith14jointlabels","2000","Imagesplus.matfilelabels","Humanposeestimation","2010","","S.JohnsonandM.Everingham"
"LeedsSportsPoseExtendedTraining","Articulatedhumanposeannotationsin10,000naturalsportsimagesfromFlickr.","14jointlabelsviacrowdsourcing","10000","Imagesplus.matfilelabels","Humanposeestimation","2011","","S.JohnsonandM.Everingham"
"MCQDataset","6differentrealmultiplechoice-basedexams(735answersheetsand33,540answerboxes)toevaluatecomputervisiontechniquesandsystemsdevelopedformultiplechoicetestassessmentsystems.","None","735answersheetsand33,540answerboxes","Imagesand.matfilelabels","Developmentofmultiplechoicetestassessmentsystems","2017","","Afifi,M.etal."
"SurveillanceVideos","Realsurveillancevideoscoveralargesurveillancetime(7dayswith24hourseach).","None","19surveillancevideos(7dayswith24hourseach).","Videos","Datacompression","2016","","Taj-Eddin,I.A.T.F.etal."
"LILABC","LabeledInformationLibraryofAlexandria:BiologyandConservation.Labeledimagesthatsupportmachinelearningresearcharoundecologyandenvironmentalscience.","None","~10Mimages","Images","Classification","2019","","LILAworkinggroup"
"CanWeSeePhotosynthesis?","32videosforeightliveandeightdeadleavesrecordedunderbothDCandAClightingconditions.","None","32videos","Videos","Livenessdetectionofplants","2017","","Taj-Eddin,I.A.T.F.etal."
"MathematicalMathematicsMemes","Collectionof10,000memesonmathematics.","None","~10,000","Images","Visualstorytelling,objectdetection.","2021","","MathematicalMathematicsMemes"
