"Software","DataSynergyPowerMAN","EMCOSoftwareRemoteShutdown","EnergyStarEZGPO","FaronicsPowerSave","VerdiemSurveyor"
"License","Proprietary","Proprietary","Free","Proprietary","Proprietary"
"64-bitSupport","Yes","No","No","Yes","Yes"
"ActiveDirectoryIntegration","Yes","No","No","Yes","Yes"
"GroupPolicyConfigurationSupport","Yes","No","Yes","No","No"
"Per-userPolicy","Yes","No","No","Yes","Yes"
"Per-machinePolicy","Yes","No","Yes","Yes","Yes"
"Anti-insomnia","Yes","Yes","No","Yes","Yes"
"Sleeponidle","Yes","Yes","Yes","Yes","Yes"
"Hibernateonidle","Yes","Yes","Yes","Yes","Yes"
"Power-offonidle","Yes","Yes","No","Yes","Yes"
"Logoutonidle","Yes","Yes","No","Yes","No"
"Standbydisplayonidle","Yes","No","Yes","Yes","No"
"ScheduledSleep/Hibernate","Yes","Yes","No","Yes","Yes"
"Scheduledpower-off","Yes","Yes","No","Yes","Yes"
"ScheduledReboot","Yes","No","No","Yes","Yes"
"Scheduledwake-up(withoutWoL)","Yes","No","No","Yes","Yes"
"Remotewake-up(withWoL)","Yes","No","No","Yes","Yes"
