"Model","Codename","Released","Fab(nm)","SATA","USB2.0+1.1","ParallelATA","RAID","NIC","Package","TDP(W)","Features/Notes"
"AMD480/570/580/690CrossFireChipset","SB600","2006","130","4×3Gbit/sAHCI1.1SATARevision2.0","10+0","1×ATA/133","0,1,10","No","548-pinFC-BGA","4.0",""
"AMD700chipsetseries","SB700","Q12008","130","6×3Gbit/sAHCI1.1SATARevision2.0","12+2","1×ATA/133","0,1,10","No","548-pinFC-BGA","4.5","DASH1.0"
"AMD700chipsetseries","SB700S","Q12008","6×3Gbit/sAHCI1.1SATARevision2.0","12+2","1×ATA/133","No","4.5","DASH1.0Serversouthbridge","130","0,1,10","548-pinFC-BGA"
"AMD700chipsetseries","SB710","Q42008","6×3Gbit/sAHCI1.1SATARevision2.0","12+2","1×ATA/133","No","4.5","DASH1.0","130","0,1,10","548-pinFC-BGA"
"AMD700chipsetseries","Q42008","DASH1.0","SB750","0,1,5,10","6×3Gbit/sAHCI1.1SATARevision2.0","12+2","1×ATA/133","No","4.5","130","548-pinFC-BGA"
"AMD800chipsetseries","SB810","Q12010","65","6×3Gbit/sAHCI1.2SATARevision2.0","14+2","No","0,1,10","10/100/1000","605-pinFC-BGA","6.0",""
"AMD800chipsetseries","SB850","Q12010","65","6×6Gbit/sAHCI1.2SATARevision3.0","14+2","No","0,1,5,10","10/100/1000","605-pinFC-BGA","6.0",""
"AMD800chipsetseries","6×6Gbit/sAHCI1.2SATARevision3.0","SB820M","","65","0,1","14+2","No","3.4-5.3","10/100/1000","605-pinFC-BGA","mobile/embedded"
"AMD900chipsetseries","SB920","May30,2011","65","6×6Gbit/sAHCI1.2SATARevision3.0","14+2","No","0,1,10","10/100/1000","605-pinFC-BGA","6.0",""
"AMD900chipsetseries","SB950","May30,2011","6×6Gbit/sAHCI1.2SATARevision3.0","No","0,1,5,10","10/100/1000","6.0","","65","14+2","605-pinFC-BGA"
"Model","Codename","Released","Fab(nm)","SATA","USB2.0+1.1","ParallelATA","RAID","NIC","Package","TDP(W)","Features/Notes"
