"Archiveformat","Built-incompression","Self-extracting","Directorystructure","POSIXattributes","ACLs","Alternatedatastreams"
"cpio","No","No","Yes","Yes","No","?"
"tar","No","No","Yes","Yes","Some","(inSolarisimplementation)"
"dar","Yes","No","Yes","Yes","Yes","Yes"
"ar","No","No","No","Yes","No","?"
"pax","No","No","Yes","Yes","Yes","?"
"dump","No","No","Yes","Yes","Yes","?"
"shar","No","Yes","Yes","Yes","No","?"
"makeself","Yes","Yes","Yes","Yes","Yes","?"
"zip","Yes","Yes","Yes","No","?","?"
"rar","Yes","Yes","Yes","No","?","Yes"
"ace","Yes","?","Yes","No","?","?"
"arj","Yes","Yes","Yes","No","No","?"
"zoo","Yes","?","Yes","No","?","?"
"ISO9660(CD-ROM)","No","No","Yes","(withRockRidgeextension)","No","?"
"cab","Yes","Yes","?","No","?","?"
"rpm","Yes","No","Yes","Yes","?","?"
"deb","Yes","No","Yes","Yes","?","?"
"7z","Yes","Yes","Yes","No","?","?"
"Archiveformat","Built-incompression","Self-extracting","DirectoryStructure","POSIXattributes","ACLs","Alternatedatastreams"
