"Filearchivers","Developer","Initialrelease","Platform","Latestrelease","Latestrelease","License","Cost(USD)"
"Filearchivers","Developer","Initialrelease","Platform","Version","License","Cost(USD)","Date"
"7-Zip","IgorPavlov","1999-01-02","AmigaOS","21.07","2021-12-26","LGPL-2.1-or-later(RARpluginisproprietary)","Nocost"
"7-Zip","IgorPavlov","1999-01-02","BSD","21.07","2021-12-26","LGPL-2.1-or-later(RARpluginisproprietary)","Nocost"
"7-Zip","IgorPavlov","1999-01-02","DOS","21.07","2021-12-26","LGPL-2.1-or-later(RARpluginisproprietary)","Nocost"
"7-Zip","IgorPavlov","1999-01-02","GNU/Linux","21.07","2021-12-26","LGPL-2.1-or-later(RARpluginisproprietary)","Nocost"
"7-Zip","IgorPavlov","1999-01-02","macOS","21.07","2021-12-26","LGPL-2.1-or-later(RARpluginisproprietary)","Nocost"
"7-Zip","IgorPavlov","1999-01-02","Unix","21.07","2021-12-26","LGPL-2.1-or-later(RARpluginisproprietary)","Nocost"
"7-Zip","IgorPavlov","1999-01-02","Windows","21.07","2021-12-26","LGPL-2.1-or-later(RARpluginisproprietary)","Nocost"
"7-Zip","IgorPavlov","1999-01-02","WindowsMobile","21.07","2021-12-26","LGPL-2.1-or-later(RARpluginisproprietary)","Nocost"
"ALZip","ESTsoft","1999","DOS","11.07","2020-03-10","Proprietary","Nocost"
"ALZip","ESTsoft","1999","Windows","11.07","2020-03-10","Proprietary","Nocost"
"ArchiveManager(FileRoller)","PaoloBacchilega","2001-05-12","BSD","3.40.0","2021-05-01","GPL-2.0-or-later","Nocost"
"ArchiveManager(FileRoller)","PaoloBacchilega","2001-05-12","GNU/Linux","3.40.0","2021-05-01","GPL-2.0-or-later","Nocost"
"ArchiveManager(FileRoller)","PaoloBacchilega","2001-05-12","Unix","3.40.0","2021-05-01","GPL-2.0-or-later","Nocost"
"ArchiveUtility","AppleInc.","2003-10-24","macOS","10.10","2014-10-16","Proprietary","Bundled"
"Ark","KDEteam","1997","BSD","21.12.2","2022-01-28","GPL-2.0-or-later","Nocost"
"Ark","KDEteam","1997","GNU/Linux","21.12.2","2022-01-28","GPL-2.0-or-later","Nocost"
"Ark","KDEteam","1997","Unix","21.12.2","2022-01-28","GPL-2.0-or-later","Nocost"
"B1FreeArchiver","AdamBuyer","2011-08","Android","1.0.0132","2019-04-03","Proprietary","Nocost"
"B1FreeArchiver","AdamBuyer","2011-08","BSD","","","Proprietary","Nocost"
"B1FreeArchiver","AdamBuyer","2011-08","GNU/Linux","1.5.86.4890","2014-03","Proprietary","Nocost"
"B1FreeArchiver","AdamBuyer","2011-08","macOS","1.5.86.4890","2014-03","Proprietary","Nocost"
"B1FreeArchiver","AdamBuyer","2011-08","Unix","","","Proprietary","Nocost"
