"Model","Launch","Codename","Fab(nm)","Businterface","Coreclock(MHz)","Memoryclock(MHz)","Coreconfig","Fillrate","Memory","SupportedAPIversion","Memory","Memory","Fillrate","Memory","SupportedAPIversion","TDP(Watts)","Features"
"Model","Launch","Codename","Fab(nm)","Businterface","Coreclock(MHz)","Memoryclock(MHz)","Coreconfig","Pixel(GP/s)","Texture(GT/s)","Size(MB)","TDP(Watts)","Features","Bandwidth(GB/s)","Bustype","Buswidth(bit)","Direct3D","OpenGL"
"GeForce7000M","February1,2006","MCP67MV","90","HyperTransport","350","Systemmemory","1:2:2:2","0.7","0.7","Upto256fromsystemmemory","Systemmemory","DDR2","64/128","9.0c","2.1","Unknown",""
"GeForce7150M","February1,2006","MCP67M","90","HyperTransport","425","Systemmemory","1:2:2:2","0.85","0.85","Upto256fromsystemmemory","Systemmemory","DDR2","64/128","9.0c","2.1","Unknown",""
"GeForceGo7200","January2006","G72M","90","PCIex16","450","700","3:4:4:1","0.45","1.8","64","2.8","GDDR3","32","9.0c","2.1","Unknown","TransparencyAnti-Aliasing"
"GeForceGo7300","January2006","G72M","PCIex16","350","700","3:4:4:2","90","0.7","1.4","128,256,512","GDDR3","5.60","64","TransparencyAnti-Aliasing","Unknown","9.0c","2.1"
"GeForceGo7400","January2006","3:4:4:2","G72M","PCIex16","450","900","64","90","0.9","1.8","64,256","7.20","GDDR3","Unknown","9.0c","TransparencyAnti-Aliasing","2.1"
"GeForceGo7600","450","March2006","G73M","PCIex16","90","1000","5:8:8:8","3.6","3.6","256,512","16","GDDR3","128","Unknown","ScalableLinkInterface(SLI),TransparencyAnti-Aliasing","9.0c","2.1"
"GeForceGo7600GT","2006","G73M","500","PCIex16","90","1200","5:12:12:8","4","128","6","ScalableLinkInterface(SLI),TransparencyAnti-Aliasing","256","19.2","GDDR3","Unknown","9.0c","2.1"
"GeForceGo7700","2006","G73-N-B1","80","5:12:12:8","PCIex16","450","1000","3.6","5.4","512","128","16","ScalableLinkInterface(SLI),TransparencyAnti-Aliasing","Unknown","GDDR3","9.0c","2.1"
"GeForceGo7800","March3,2006","G70M","PCIex16","110","400","1100","6:16:16:8","3.2","6.4","256","ScalableLinkInterface(SLI),TransparencyAnti-Aliasing","GDDR3","35.2","256","35","9.0c","2.1"
"GeForceGo7800GTX","October2005","G70M","110","400","1100","8:24:24:16","PCIex16","6.4","256","35.2","256","9.6","65","9.0c","2.1","GDDR3","ScalableLinkInterface(SLI),TransparencyAnti-Aliasing"
"GeForceGo7900GS","April2006","G71M","PCIex16","90","375","1000","7:20:20:16","6","256","7.5","256","32.0","ScalableLinkInterface(SLI),TransparencyAnti-Aliasing","GDDR3","20","9.0c","2.1"
"GeForceGo7900GTX","April2006","G71M","90","500","1200","PCIex16","8:24:24:16","8","12","256512","38.4","45","9.0c","256","ScalableLinkInterface(SLI),TransparencyAnti-Aliasing","GDDR3","2.1"
"GeForceGo7950GTX","October2006","G71M","8:24:24:16","90","575","PCIex16","1400","45","9.2","13.8","512","44.8","9.0c","2.1","256","ScalableLinkInterface(SLI),TransparencyAnti-Aliasing","GDDR3"
