"Graphics","Launch","PowerVRcore","Market","Chipset","Codename","Deviceid.","Corerenderclock(MHz)","Pixelpipelines","Shadermodel(vertex/pixel)","APIsupport","APIsupport","APIsupport","Hardwareacceleration","Hardwareacceleration","Memorybandwidth(GB/s)","DVMT(MB)","Hardwareacceleration"
"Graphics","Launch","PowerVRcore","Market","Chipset","Codename","Deviceid.","Corerenderclock(MHz)","Pixelpipelines","Shadermodel(vertex/pixel)","Direct3D","Memorybandwidth(GB/s)","DVMT(MB)","OpenGL","OpenCL","MPEG-2","VC-1","AVC"
"GMA500","2008","SGX535","CE","CE3100AtomZ520","Canmore","2E5B","?","2","3.0","9.0c","2.0","—","4.2","256","Full","Full","Full"
"GMA500","2009","SGX535","CE","AtomCE4100","Sodaville","2E5B","?","2","3.0","9.0c","2.0","—","4.2","256","Full","Full","Full"
"2009","GMA500","Sodaville","AtomCE4110","SGX535","CE","200","2E5B","2","3.0","9.0c","2.0","—","4.2","256","Full","Full","Full"
"2009","200","GMA500","Sodaville","AtomCE4130","SGX535","CE","2E5B","2","3.0","9.0c","2.0","—","4.2","256","Full","Full","Full"
"2009","GMA500","Sodaville","AtomCE4150","SGX535","CE","400","2E5B","2","3.0","9.0c","2.0","—","4.2","256","Full","Full","Full"
"2009","400","GMA500","Sodaville","AtomCE4170","SGX535","CE","2E5B","2","3.0","9.0c","2.0","—","4.2","256","Full","Full","Full"
"GMA500","2010","SGX535","CE","AtomCE4200","Groveland","2E5B","?","2","3.0","9.0c","2.0","—","4.2","256","Full","Full","Full"
"GMA500","2008","SGX535","MID","UL11L","Poulsbo(Menlow)","81088109","100","2","3.0","9.0c","2.0","—","4.2","256","Full","Full","Full"
"2008","MID","GMA500","Poulsbo(Menlow)","81088109","US15L","SGX535","200","2","3.0","9.0c","2.0","—","4.2","256","Full","Full","Full"
"2008","200","MID","GMA500","Poulsbo(Menlow)","81088109","US15W","SGX535","2","3.0","9.0c","2.0","—","4.2","256","Full","Full","Full"
"GMA600","2010","SGX535","MID","AtomZ6xx","Lincroft(Moorestown)","4102","400","2","3.0","9.0c","2.0","—","6.4","759","Full","Full","Full"
"GMA","2012","SGX540","Smartphone","AtomZ24xx","Penwell(Medfield)","?","400","4","—","—","ES2.0","—","6.4","1024","Full","Full","Full"
"GMA3600","2011","SGX545","NettopNetbook","AtomD2500AtomN2600","Cedarview(CedarTrail)","0BE00BE10BE20BE3","400","4","3.0","9.0c","3.0","—","8.56.4","1024","Full","Full","Full"
"GMA3650","2011","SGX545","NettopNetbook","AtomD2700AtomN2800","Cedarview(CedarTrail)","0BE00BE10BE20BE3","640","4","3.0","9.0c","3.0","—","8.5","1024","Full","Full","Full"
"GMA","2012","SGX545","Tablet","AtomZ2760","Cloverview(CloverTrail)","08C708C808C908CA08CB08CC08CD08CE08CF","533","4","3.0","9.0c","2.0","—","6.4","2048","Full","Full","Full"
"GMA","2012","SGX544MP2","Tablet","AtomZ2520AtomZ2560AtomZ2580","Cloverview(CloverTrail+)","?","300Mhz400MHz533MHz","?","?","9.0L3","2.0ES,2.0?","1.1","?","?","Full","Full","Full"
