"","","Cerberus","Complete","CrushFTPServer","FileZilla","IIS","MultiServer"
"","Licensetype","proprietary","proprietary","proprietary","FLOSS/GPL2","proprietary","proprietary"
"OS","Linux","No","No","Yes","No","No","No"
"OS","MacOSX","No","No","Yes","No","No","No"
"OS","Unix","No","?","Yes","No","No","No"
"OS","Windows","Yes","Yes","Yes","Yes","Yes","Yes"
"UserInterface","CLI","?","?","Yes","?","Yes,viaPowerShell","?"
"UserInterface","GUIintegrated","Yes","?","Yes","Yes","Yes","?"
"UserInterface","GUI(s)separately","Yes","?","?","?","?","?"
"UserInterface","Web-basedGUI","Yes","Yes","Yes","No","No","?"
"Services","FTP","Yes","Yes","Yes","Yes","Yes","Yes"
"Services","SFTP","Yes","Yes","Yes","No","No","Yes"
"Services","FTPS","Yes","Yes","Yes","Yes","Yes","Yes"
"Services","SCP","Yes","Yes","Yes","No","No","Yes"
"Services","WebDAV","No","No","Yes","No","Yes","No"
"Services","HTTP/HTTPS","Yes","Yes","Yes","No","Yes","Yes"
"Services","AS2","No","No","Yes","No","No","No"
"Authentication","LDAP","Yes","Yes","Yes","No","No","No"
"Authentication","ActiveDirectory","Yes","Yes","Yes","No","Yes","Yes"
"Authentication","Local","Yes","Yes","Yes","Yes","Yes","Yes"
"Authentication","Database","No","Yes","Yes","No","No","Yes"
"HighAvailability","FailoverCluster(active/passive)","Yes","No","Yes","No","Yes","No"
"HighAvailability","LoadBalancing(active/active)","Yes","?","Yes","No","Yes","?"
"Automation","Event-handling","Yes","Yes","Yes","No","No","?"
"Automation","Scripting","No","Yes","Yes","No","No","?"
"","","Cerberus","Complete","CrushFTPServer","FileZilla","IIS","MultiServer"
