"IDE","Developer","Lateststablerelease","Platform","License"
"Decoda","UnknownWorldsEntertainment","1.16/October25,2011","Windows","GPL"
"SlickEdit","SlickEdit","October2016","Windows,Linux,macOS,AIX,HP-UX,Solaris,SolarisSPARC","Proprietary"
"ZeroBraneStudio","PaulKulchenko,ZeroBraneLLC","1.80/October7,2018","Windows,macOS/Mac,Linux","MITLicense"
