"Hindi-Urdu","Wordorder","Meaning"
"vousselamb?hai","[that].NOM[that].INST[tall].FEM[is]","Sheistallerthanhim/her."
"voussezy?d?lamb?hai","[that].NOM[that].INST[more][tall].FEM[is]","Sheismoretallthemhim/her."
"vousseaurlamb?hai","[that].NOM[that].INST[more][tall].FEM[is]","Sheiseventallerthenhim/her."
"vouskejitn?lamb?hai","[that].NOM[that].GEN[thatmuch].REL[tall].FEM[is]","Sheisastallashim/her."
"vousbaccejitn?lamb?hai","[that].NOM[that].OBL[kid].OBL.MASC[thatmuch].REL[tall].FEM[is]","Sheisastallasthekid."
"voussekamlamb?hai","[that].NOM[that].INST[less][tall].FEM[is]","Sheisshorterthanhim/her."
"kamr?kalse(zy?d?)s?fhai","[room].NOM.MASC[yesterday].INST[more][clean][is]","Theroomiscleanercomparedtoyesterday."
