"Java","C#"
"Typechecksanddowncastsareinjectedintoclientcode(thecodereferencingthegenerics).Comparedtonon-genericcodewithmanualcasts,thesecastswillbethesame,butcomparedtocompile-timeverifiedcodethatwouldnotneedruntimecastsandchecks,theseoperationsrepresentaperformanceoverhead.","C#/.NETgenericsguaranteetype-safetyandareverifiedatcompiletime,makingextrachecks/castsareunnecessaryatruntime.Hence,genericcodewillrunfasterthannon-generic(ortype-erased)codethatrequirecastswhenhandlingnon-genericortype-erasedobjects."
"Cannotuseprimitivetypesastypeparameters;instead,thedevelopermustusethewrappertypecorrespondingtotheprimitivetype.Thisincursextraperformanceoverheadbyrequiringboxingandunboxingconversionsaswellamemoryandgarbagecollectionpressure,asthewrapperswillbeheap-allocatedasopposedtostack-allocated.","Primitiveandvaluetypesareallowedastypeparametersingenericrealizations.Atruntimecodewillbesynthesizedandcompiledforeachuniquecombinationoftypeparametersuponfirstuse.Genericsthatarerealizedwithprimitive/valuetypedonotrequireboxing/unboxingconversions."
"Genericexceptionsarenotallowedandatypeparametercannotbeusedinacatchclause","Canbothdefinegenericexceptionsandusethoseincatchclauses"
"Staticmembersaresharedacrossallgenericrealizations(duringtypeerasureallrealizationsarefoldedintoasingleclass)","Staticmembersareseparateforeachgenericrealization.Agenericrealizationisauniqueclass."
"Typeparameterscannotbeusedindeclarationsofstaticfields/methodsorindefinitionsofstaticinnerclasses","Norestrictionsonuseoftypeparameters"
"Cannotcreateanarraywherethecomponenttypeisagenericrealization(concreteparameterizedtype)Pair<String,String>[]tenPairs=newPair[10];//OK","Agenericrealizationisa1stclasscitizenandcanbeusedasanyotherclass;alsoanarraycomponentobjecttenPairs=newPair<int,string>[10];//OK"
"Cannotcreateanarraywherethecomponenttypeisatypeparameter,butitisvalidtocreateanObjectarrayandperformatypecastonthenewarraytoachievethesameeffect.publicclassLookup<K,V>{publicV[]getEmptyValues(Kkey){return(V[])newObject[0];//OK}}WhenagenerictypeparameterisunderinheritanceconstraintstheconstrainttypemaybeusedinsteadofObjectpublicclassLookup<K,VextendsComparable<V>>{publicV[]getEmptyValues(Kkey){return(V[])newComparable[0];}}","Typeparametersrepresentactual,discreteclassesandcanbeusedlikeanyothertypewithinthegenericdefinition.publicclassLookup<K,V>{publicV[]GetEmptyValues(Kkey){returnnewV[0];//OK}}"
"Thereisnoclassliteralforaconcreterealizationofagenerictype","Agenericrealizationisanactualclass."
"instanceofisnotallowedwithtypeparametersorconcretegenericrealizations","Theisandasoperatorsworkthesamefortypeparametersasforanyothertype."
"Cannotcreatenewinstancesusingatypeparameterasthetype","Withaconstructorconstraint,genericmethodsormethodsofgenericclassescancreateinstancesofclassesthathavedefaultconstructors."
"Typeinformationiserasedduringcompiling.Specialextensionstoreflectionmustbeusedtodiscovertheoriginaltype.","TypeinformationaboutC#generictypesisfullypreservedatruntime,andallowsfullreflectionsupportandinstantiationofgenerictypes."
"Reflectioncannotbeusedtoconstructnewgenericrealizations.Duringcompilationextracode(typecasts)areinjectedintotheclientcodeofgenerics.Thisprecludescreatingnewrealizationslater.","Reflectioncanbeusedtocreatenewrealizationsfornewcombinationsoftypeparameters."
