"Model","CodeName","ReleaseDate","CPUSocket","ProcessorsSupported","Fab(nm)","FSB/HTFrequency(MHz)","Memory","PCI-Express","SLI","PCI","USB","PATA","SATA","LAN","Sound","Graphics"
"nForce610i","MCP73","2007","LGA775","Pentium4,PentiumEE,PentiumD,CeleronD,Core2","","1333MHz","DDR2-667singlechannel","1.118lanes","No","5Ports","8PortsRev2.0","2PortsUDMA133","4Ports3.0Gbit/s","100Mbit/s","HDA","GeForce7050"
"nForce630i","MCP73","2007","LGA775","Pentium4,PentiumEE,PentiumD,CeleronD,Core2","","1333MHz","DDR2-800singlechannel","1.118lanes","No","5Ports","10PortsRev2.0","2PortsUDMA133","4Ports3.0Gbit/s","1000Mbit/s","HDA","GeForce7100/7150"
"nForce650iUltra","Crush55+MCP51","2006","LGA775","Pentium4,PentiumEE,PentiumD,CeleronD,Core2","","1333MHz","DDR2-800dualchannel","1.118lanes","No","5Ports","8PortsRev2.0","4PortsUDMA133","4Ports3.0Gbit/s","1000Mbit/s","HDA","none"
"nForce650iSLI","Crush55+MCP51","2006","LGA775","Pentium4,PentiumEE,PentiumD,CeleronD,Core2","","1333MHz","DDR2-800dualchannel","1.118lanes","x8+x8","5Ports","8PortsRev2.0","4PortsUDMA133","4Ports3.0Gbit/s","1000Mbit/s","HDA","none"
"nForce680iLTSLI","Crush55+MCP55","March26,2007","LGA775","Pentium4,PentiumEE,PentiumD,CeleronD,Core2","","1333MHz","DDR2-800dualchannel","1.146lanes","x16+x16","5Ports","10PortsRev2.0","2PortsUDMA133","6Ports3.0Gbit/s","2*1000Mbit/s","HDA","none"
"nForce680iSLI","Crush55+MCP55","November8,2006","LGA775","Pentium4,PentiumEE,PentiumD,CeleronD,Core2","","1333MHz","DDR2-800dualchannel","1.146lanes","x16+x16x8+x8+x8","5Ports","10PortsRev2.0","2PortsUDMA133","6Ports3.0Gbit/s","2*1000Mbit/s","HDA","none"
