"","OSsupport","Protocolsupport","Features","Storage","Features","Features","Features","Features","Features","Protocolsupport","Protocolsupport","Protocolsupport","Protocolsupport","Protocolsupport","OSsupport","OSsupport","Protocolsupport","Features","Storage","License"
"IBMLotusDomino","Yes","Yes","No","Yes","Yes","Yes","?","No","Yes","Yes","Yes","Yes","No","Yes","No","?","No","Yes","No","Proprietary"
"IceWarpMailServer","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","?","Yes","Yes","Proprietary"
"IpswitchIMailServer","No","Yes","No","Yes","Yes","Yes","?","Yes(sincev12.2)","Yes","Yes","?","Yes","?","Yes","Yes","?","?","No","Yes","Proprietary"
"KerioConnect","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes","?","No","Yes","Proprietary"
"Kolab","Yes","No","No","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","GPLv3"
"Kopano","Yes","No","No","postfix,etc.","Yes","Yes","No","Yes","postfix","Yes","Yes","Yes","postfix","Yes","z-push","No","Yes","SQL","Yes","AGPLv3,paid"
"Mailsite","No","Yes","No","Yes","Yes","Yes","?","?","Yes","Yes","?","Yes","?","Yes","Yes","Yes","?","Yes","Yes","Proprietary"
"Mailtraq","No","Yes","No","Yes","Yes","Yes","?","Yes","Yes","Yes","?","Yes","?","Yes","No","?","?","Yes","Yes","Proprietary"
"MDaemon","No","Yes","No","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","NotIMAP","No","Yes","Proprietary"
"MercuryMailTransportSystem","No","Yes","No","Yes","Yes","Yes","?","Yes","Yes","Yes","No","Yes","No","Yes","No","No","No","No","Yes","Proprietarydonationware"
"MicrosoftExchangeServer","No","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","3rdPartysupport","NotIMAP","Yes","Yes","Proprietary"
"NetMail","Yes","Yes","No","Yes","Yes","Yes","?","?","Yes","Yes","?","Yes","?","Yes","No","?","?","Yes","No","Proprietary"
"OpenSMTPD","Yes","No","Yes","Yes","No","No","No","No","Yes","No","Yes","Yes","No","No","No","?","No","viacustombackends","Yes","ISC"
"Open-Xchange","Yes","No","No","Yes","Yes","Yes","?","?","Yes","Yes","?","Yes","?","Yes","Yes","?","?","Yes","No","Proprietary/SaaS,withopen-sourceparts"
"OracleCommunicationsMessagingServer","Yes","No","No","Yes","Yes","Yes","?","?","Yes","Yes","?","Yes","?","Yes","No","?","Yes","Yes","Yes","Proprietary"
"Postfix","Yes","No","Yes","Yes","Dovecot,UWIMAP","Dovecot,UWIMAP","?","Dovecot,UWIMAP","Yes","No","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","IBMPublicLicense"
"qmail","Yes","No","Yes","Yes","Yes","Dovecot,UWIMAP","?","Dovecot,UWIMAP","No","Dovecot,UWIMAP","viaQsmtp","No","No","No","No","?","?","(cdb)","Yes","Publicdomain"
"Qpopper","Yes","Yes(viaCygwin)","Yes","No","Yes","No","?","No","No","Yes","?","Yes","?","No","No","?","?","No","Yes","BSD-style(GPL-incompatible)"
"Scalix","Yes","No","No","Yes","Yes","Yes","?","Yes","Yes(viaStunnel)","Yes(viaStunnel)","?","Yes(viaStunnel)","?","Yes","Yes","?","?","Yes","Yes","ProprietarywithOSSparts,acommunity(Freeware)and3paideditions(SMB,Enterprise,Hosting)"
"Sendmail","Yes","No","Yes","Yes","Dovecot,UWIMAP","Dovecot,UWIMAP","?","Dovecot,UWIMAP","Yes","No","Yes","Yes","Yes(since8.16)","No","No","No","Yes","?","Yes","SendmailLicense"
"SparkEngine","Yes","Yes","Yes","Yes","No","No","?","No","Yes","No","?","Yes","?","No","No","?","?","Yes","Yes","Proprietary"
"UWIMAP","Yes","Yes","Yes","No","Yes","Yes","?","Yes","No","Yes","Yes","Yes","No","WebPine","No","No","?","Yes(Indexes)","Yes","ApacheLicense2.0"
"WinGate","No","Yes","No","Yes","Yes","Yes","?","Yes","Yes","Yes","No","Yes","?","Yes","No","?","?","No","Yes","Proprietary"
"Zarafa","Yes","No","No","postfixetc.","Yes","Yes","No","Yes","postfix","Yes","Yes","Yes","postfix","Yes","z-push","No","No","SQL","Yes","AGPLv3,paid"
"Zentyal","Yes","No","No","Yes","Yes","Yes","?","Yes","Yes","Yes","No","Yes","?","Yes","Yes","?","?","Yes","Yes","Proprietary,45-daytrial"
"Zimbra","Yes","No","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","ZPLandproprietaryeditions"
"Mailserver","Linux/Unix","Windows","macOS","SMTP","POP3","IMAP","JMAP","IDLE","SMTPS","POP3S","IPv6","SSL","DANE","Webmail","ActiveSync","Sieve","IDN/UTF8","Database","File-based","License"
