"Desktoppublishingsoftware","PDF","EPS","SVG","TeX/LaTeX","HTML","Other"
"ApacheOpenOfficeWriter","Yes","Yes","Yes","No","Yes","RTF"
"CollaboraOnline","Yes","No","No","No","No","ODF,PDF,PNG"
"CorelDRAW","Yes","Yes","Yes","No","Yes","PSD,AI,SWF,WPD"
"Fatpaint","No","No","No","No","No","JPG,PNG"
"Flare","Yes","No","No","No","Yes","DOC,EPUB,HTML5"
"FrameMaker","Yes","Yes","No","No","Yes","DOC,WPD"
"InDesign","Yes","Yes","No","No","Yes","EPUB,SWF,XML,RTF"
"InPage","No","Yes","No","No","No","GIF"
"iStudioPublisher","Yes","No","No","No","No","EPUB,RTF"
"LibreOffice","Yes","Yes","Yes","No","Yes","ODF,PDF,PNG,RTF"
"LyX","Yes","No","No","Yes","Yes","PS,ODF"
"MicrosoftPublisher","Yes","No","No","No","Yes","JPG,PNG,TIFF"
"PageMaker*","withDistiller","Yes","No","No","No","No"
"PagePlus","Yes","Yes","No","No","Yes","No"
"Pages","Yes","No","No","No","Yes","EPUB,RTF"
"QuarkXPress","Yes","Yes","No","No","Yes","EPUB,Kindle,iOS,HTML5"
"Scribus","Yes","Yes","Yes","Yes","Yes","List"
"ThePrintShop","Yes","No","No","No","No","No"
"Ventura*","Yes","Yes","No","No","No","RTF,PSD,AI,WPD"
"Desktoppublishingsoftware","PDF","EPS","SVG","TeX/LaTeX","HTML","Other"
