"NAME","Maximumzoom","Objectlimitperdocument","Controlpointlimit","Colormanagementforprint","Thumbnails","AdjustImage(functions)","TextRecognition(OCR)","Scriptingsupport"
"EasyTrace","12800x","NoLimit","?","Yes","Yes","Yes","No","No"
"GraphicTracerProfessional","Nolimit","Nolimit","Nolimit","No","?","?","Yes","No"
"Illustrator","640x","?","?","Yes","?","?","No","Yes"
"Potrace","N/A","?","?","No","?","?","No","No"
"ImageTracer","N/A","Nolimit","Nolimit","No","No","?","No","Yes"
"Scan2CAD","64K","Nolimit","Nolimit","Yes","?","?","Yes","Yes"
"WinTopoPro","512x","Nolimit","Nolimit","Yes","Yes","Yes","No","Yes"
"","Maximumzoom","Objectlimitperdocument","Controlpointlimit","Colormanagementforprint","Thumbnails","adjustimage(functions)","TextRecognition(OCR)","Scriptingsupport"
